Time,Region,UserName,ETSMember,ETSServiceAuto,ETSQuestionAuto,AnswerHit,ETSQuesionManual,UserSays,UserSaysLower,JARVISAnswerKB,KBpageId,KBurl,KBWikiPosition,JARVISAnswerForm,SessionId
2020-09-10T12:55:28.761981Z,Europe,,,,,,,modify ideas change,modify ideas change,Europe IT Contact Info,425821972,,,425821972,452b4be5-6a15-4304-81df-0473ca11323d
2020-09-10T13:06:46.329098Z,APAC,,,,,,,encryption,encryption,Zoom : What Is ,26411293,,,26411293,5fa6fca0-3d62-450c-b746-cfe9034bdc1c
2020-09-10T13:07:18.729679Z,TW,,,,,,,Dale,dale,,,,,,2b792615-909f-40d8-9f34-1fd7ed9b7c9f
2020-09-10T13:07:30.164276Z,TW,,,,,,,Dale Liao,dale liao,,,,,,2b792615-909f-40d8-9f34-1fd7ed9b7c9f
2020-09-10T13:25:21.696021Z,Europe,,,,,,,xdr,xdr,XDR,446539526,,,446539526,2ea18404-5c7a-40d5-9dda-e36fccb81151
2020-09-10T13:29:30.828798Z,MMEA,,,,,,,Create email DL,create email dl,How To Create New Distribution List or Contact Group in Outlook 2010 Profile,21266704,,,21266704,4f3c9bc5-3e8d-4ac0-bd37-5514701f2c29
2020-09-10T13:30:10.190454Z,TW,,,,,,,safe circle,safe circle,,,,,,3a50287b-b28c-46bc-a7f1-6573c3ee77d3
2020-09-10T13:43:55.405539Z,TW,,,,,,,safe circle file storage,safe circle file storage,,,,,,4a14d6fb-283f-4a3c-9dae-c1541f545d08
2020-09-10T13:45:04.514979Z,TW,,,,,,,file storage,file storage,,,,,,4a14d6fb-283f-4a3c-9dae-c1541f545d08
2020-09-10T13:45:19.588845Z,TW,,,,,,,download center,download center,How Do I Download a Large File,21266697,,,21266697,4a14d6fb-283f-4a3c-9dae-c1541f545d08
2020-09-10T13:49:09.329598Z,TW,,,,,,,sharepoint,sharepoint,iShare,355647201,,,355647201,4a14d6fb-283f-4a3c-9dae-c1541f545d08
2020-09-10T14:07:59.232862Z,PH,,,,,,,web reputation,web reputation,How Do I Request for a Symposium Web Access,21266500,,,21266500,5db9cce4-6981-4aa2-8cea-f39656513619
2020-09-10T14:08:12.046309Z,PH,,,,,,,Laptop delivery,laptop delivery,[PH-WFH] Machine Transport Request,605556991,,,605556991,8ab29746-23c3-4dfa-8a5c-ae7cd1f905c5
2020-09-10T14:08:18.265342Z,PH,,,,,,,wrs,wrs,Acronym Info,370935757,,,370935757,5db9cce4-6981-4aa2-8cea-f39656513619
2020-09-10T14:23:14.308453Z,NABU,,,,,,,how to setup duo on new iphone,how to setup duo on new iphone,New Hire Checklist,370957432,,,370957432,5b7f17b3-21a1-48bc-9643-34942478b31a
2020-09-10T14:27:25.099171Z,NABU,,,,,,,TMST,tmst,,,,,,90896fdc-49f7-434e-8b6b-c91bcfd0fe12
2020-09-10T14:27:32.380808Z,NABU,,,,,,,Gamification,gamification,,,,,,90896fdc-49f7-434e-8b6b-c91bcfd0fe12
2020-09-10T14:35:53.678175Z,Europe,,,,,,,renew ssl,renew ssl,Generating Certificate Signing Request (CSR),61247858,,,61247858,f13736fe-3ec5-4ade-afe4-4f89caab83cb
2020-09-10T14:47:59.444635Z,Europe,,,,,,,license,license,Request for MSDN License and Other Licenses for Non-standard Applications,21266502,,,21266502,880ca4eb-d0cb-4864-9213-81ff27960c06
2020-09-10T14:51:34.073793Z,MMEA,,,,,,,computer name change,computer name change,,,,,,f23283cf-5507-425a-b6f3-a6bc9a892efd
2020-09-10T14:53:34.569834Z,NABU,,,,,,,aws account,aws account,Domain Account Lockout,90815979,,,90815979,ef9953f9-9c9f-4706-ac50-9d5602ee324c
2020-09-10T15:15:46.364042Z,NABU,,,,,,,Hello,hello,,,,,,d745d3f6-b427-4390-a1d5-3def954da1c7
2020-09-10T15:15:59.885025Z,NABU,,,,,,,who is in charge of polaris,who is in charge of polaris,JARVIS Wiki: How do I know who is in charge of this space?,81281661,,,81281661,d745d3f6-b427-4390-a1d5-3def954da1c7
2020-09-10T15:25:29.081589Z,PH,,,,,,,wfh,wfh,[PH-WFH] Machine Transport Request,605556991,,,605556991,a8201a98-2ca0-4b6d-a92b-006f25fcc933
2020-09-10T15:26:47.963146Z,PH,,,,,,,wfh,wfh,[PH-WFH] Machine Transport Request,605556991,,,605556991,1b44d784-c299-42ab-81fb-1128ada8852e
2020-09-10T15:28:02.366024Z,PH,,,,,,,GS,gs,,,,,,126156fc-ffa3-4c12-9016-c5bda349e6a1
2020-09-10T15:39:42.838549Z,PH,,,,,,,hi,hi,,,,,,72561695-c6e7-412f-b630-0f2d8471f333
2020-09-10T15:39:51.890532Z,PH,,,,,,,salary,salary,ã€Qã€‘What is SRP (Salary Review Process) ?,613843940,,,613843940,72561695-c6e7-412f-b630-0f2d8471f333
2020-09-10T15:45:40.576077Z,NABU,,,,,,,DL Owner,dl owner,Modify distribution list in MS outlook 2016,21266504,,,21266504,421471e4-f230-491b-8bbb-5cb1abf02827
2020-09-10T16:10:47.118402Z,Europe,,,,,,,raise ticket,raise ticket,Europe IT Contact Info,425821972,,,425821972,58f2536c-9139-4948-ab36-74df554d6891
2020-09-10T16:47:12.041531Z,NABU,,,,,,,laptop support,laptop support,Workstation Policies,636120124,,,636120124,1752b8fc-0e00-4d43-b840-1ec7ba4acaba
2020-09-10T17:38:01.060667Z,NABU,,,,,,,JarvisCommandUserNeedHelp,jarviscommanduserneedhelp,,,,,,bcf81645-f491-4e56-8b02-cde03a448583
2020-09-10T17:38:50.999956Z,NABU,,,,,,,Device down,device down,Inaccessible Boot Device,99725027,,,99725027,56a14d93-4fa2-49a2-bd52-49dbe7629252
2020-09-10T17:48:08.46277Z,NABU,,,,,,,Software download for SonarQube,software download for sonarqube,Network Policies,636120111,,,636120111,029f001e-060e-4d97-aef0-5f8551e48578
2020-09-10T17:48:59.771933Z,NABU,,,,,,,SonarQube,sonarqube,,,,,,4f4982ef-1838-4ac6-8bd8-2e52303f2a62
2020-09-10T17:50:37.709812Z,NABU,,,,,,,how many years have i worked here,how many years have i worked here,,,,,,50e36a3d-8b2f-410d-8399-8e7ddd764319
2020-09-10T17:50:44.441642Z,NABU,,,,,,,what is my onboarding date,what is my onboarding date,ã€Qã€‘How to hand-in the required documents retroactively for on-boarding?,613843932,,,613843932,5b685924-1d01-434a-8862-94a5c216acbd
2020-09-10T17:59:20.394479Z,NABU,,,,,,,reset password,reset password,Password Policies,636120120,,,636120120,fa7d9623-7396-4746-8857-182902d75101
2020-09-10T17:59:30.043265Z,NABU,,,,,,,service account,service account,Domain Account Lockout,90815979,,,90815979,fa7d9623-7396-4746-8857-182902d75101
2020-09-10T18:44:00.692801Z,NABU,,,,,,,reset cvm,reset cvm,Password Policies,636120120,,,636120120,1dd67073-88ff-444f-b422-47da56f8de77
2020-09-10T18:44:10.588736Z,NABU,,,,,,,hi,hi,,,,,,a6669a83-e154-466e-a2ac-943eb1006ef6
2020-09-10T18:45:05.64777Z,NABU,,,,,,,"File a case to ""Modify Distribution List Member""","file a case to ""modify distribution list member""",How to Open a Support Case,679394542,,,679394542,6eb5660d-59b8-4061-a320-33ab962daaf1
2020-09-10T18:45:40.410217Z,NABU,,,,,,,"File a case to ""Modify Distribution List Member""","file a case to ""modify distribution list member""",How to Open a Support Case,679394542,,,679394542,900a8995-d6f0-44f8-b3ff-e5895bde39e6
2020-09-10T18:58:14.678888Z,NABU,,,,,,,giss subdomain,giss subdomain,,,,,,38038bc7-2933-4b71-829b-118ab3bb9119
2020-09-10T18:58:24.307282Z,NABU,,,,,,,giss,giss,,,,,,38038bc7-2933-4b71-829b-118ab3bb9119
2020-09-10T19:10:31.278152Z,PH,,,,,,,delivery laptop,delivery laptop,[PH-WFH] Machine Transport Request,605556991,,,605556991,c12a34cd-218f-4c78-9783-a592da458611
2020-09-10T19:10:36.456614Z,PH,,,,,,,delivery laptop,delivery laptop,[PH-WFH] Machine Transport Request,605556991,,,605556991,c12a34cd-218f-4c78-9783-a592da458611
2020-09-10T20:00:27.429895Z,NABU,,,,,,,laptop monitor broken,laptop monitor broken,Workstation Policies,636120124,,,636120124,fa0004cd-898a-45cd-8abe-9d752ac1d215
2020-09-10T20:18:28.443022Z,PH,,,,,,,download center,download center,How Do I Download a Large File,21266697,,,21266697,9e7182c7-a9b0-4d8a-9081-a025b5367c2d
2020-09-10T20:20:54.190791Z,NABU,,,,,,,CLP,clp,,,,,,8a33a519-01fa-4a37-993b-0553c40fdd60
2020-09-10T20:30:06.97837Z,NABU,,,,,,,who is in charge of iProcess,who is in charge of iprocess,,,,,,8d3ad36a-f2f5-47c6-9601-ec06e91fb134
2020-09-10T21:07:51.101169Z,PH,,,,,,,clp,clp,,,,,,c976a10f-d76a-4e37-a663-8a592ecb2237
2020-09-10T21:47:40.076898Z,PH,,,,,,,occumed,occumed,,,,,,5fb2414d-d3eb-41c7-a521-c3840cd2b4ff
2020-09-10T22:57:46.772041Z,NABU,,,,,,,psid,psid,How do I know my PSID or my Employee Number,71965830,,,71965830,c8c1753f-1ed3-4ae6-b3dd-d35583806671
2020-09-10T22:58:05.878024Z,NABU,,,,,,,what is my psid,what is my psid,How do I know my PSID or my Employee Number,71965830,,,71965830,c8c1753f-1ed3-4ae6-b3dd-d35583806671
2020-09-10T23:24:19.659645Z,PH,,,,,,,laptop deliver,laptop deliver,[PH-WFH] Machine Transport Request,605556991,,,605556991,6211d19f-a56a-40b4-b0e7-01f8a929166c
2020-09-11T00:03:36.56933Z,PH,,,,,,,saml,saml,,,,,,646fbf35-3612-456e-9ece-f1911ca70c95
2020-09-11T00:04:46.195152Z,PH,,,,,,,WFH,wfh,[PH-WFH] Machine Transport Request,605556991,,,605556991,3bc68485-492b-4498-abfe-d990acd3e744
2020-09-11T00:06:04.786806Z,PH,,,,,,,WFH,wfh,[PH-WFH] Machine Transport Request,605556991,,,605556991,07a7b050-57cb-48b8-9d1d-ff4f93cf4ab1
2020-09-11T00:10:03.814166Z,PH,,,,,,,deliver laptop,deliver laptop,[PH-WFH] Machine Transport Request,605556991,,,605556991,70ede026-4d00-4a9e-9bc6-d77ce83200c5
2020-09-11T00:16:08.771297Z,PH,,,,,,,modify dl,modify dl,Updating Global Address Book,21266655,,,21266655,7d917fd6-c064-4826-8e10-fd27aa0e51dc
2020-09-11T00:23:12.191145Z,PH,,,,,,,modify dl,modify dl,Updating Global Address Book,21266655,,,21266655,1e39fc72-54b1-4b94-bec6-8fd8e018ce9f
2020-09-11T00:32:03.771355Z,PH,,,,,,,zoom,zoom,Zoom: FAQs on Zoombombing,605819277,,,605819277,990815c4-9bb9-4706-af70-fe0ceca7f0a3
2020-09-11T00:33:02.736068Z,PH,,,,,,,zoom,zoom,Zoom: FAQs on Zoombombing,605819277,,,605819277,cd2db0cc-134e-4106-b1b0-9700faf65765
2020-09-11T00:51:05.573161Z,NABU,,,,,,,atlassian,atlassian,,,,,,ba6c3785-5e71-4f19-aaee-bf5efbceb1ba
2020-09-11T01:13:17.252145Z,JP,,,,,,,ba,ba,,,,,,d9bfb8a7-3ab0-42ba-975e-cca6663b8488
2020-09-11T01:13:30.202473Z,JP,,,,,,,Business Application (Services),business application (services),,,,,,d9bfb8a7-3ab0-42ba-975e-cca6663b8488
2020-09-11T01:19:55.326821Z,TW,,,,,,,AWS account,aws account,AWS Security Policy Info,370936227,,,370936227,151dcd67-80d8-47b1-a1e8-2857ffb49411
2020-09-11T01:20:44.536761Z,TW,,,,,,,AWS,aws,AWS Security Policy Info,370936227,,,370936227,151dcd67-80d8-47b1-a1e8-2857ffb49411
2020-09-11T01:20:58.689955Z,PH,,,,,,,jarvis wiki,jarvis wiki,JARVIS Concierge: How Can I add new Acronym for JARVIS?,86533544,,,86533544,4f8a2558-be37-4bd0-8dd7-f3079c7590a4
2020-09-11T01:23:57.429075Z,PH,,,,,,,blinking amber light,blinking amber light,,,,,,f6ffa1a2-77a6-4b2b-9237-17c90c8e8333
2020-09-11T01:24:08.153679Z,PH,,,,,,,desktop does not turn on,desktop does not turn on,How to RDP in RGW for Windows,636611921,,,636611921,f6ffa1a2-77a6-4b2b-9237-17c90c8e8333
2020-09-11T01:24:58.667516Z,PH,,,,,,,return machine,return machine,[PH-WFH] Machine Transport Request,605556991,,,605556991,93d03f37-716b-4daa-a66d-aa5e9e1bf8fe
2020-09-11T01:28:52.878954Z,PH,,,,,,,Jarvis bpm,jarvis bpm,JARVIS Concierge: How Can I add new Acronym for JARVIS?,86533544,,,86533544,f8d14aa5-f2de-4d37-bc6b-3005d73c1685
2020-09-11T01:29:33.068934Z,PH,,,,,,,bpm,bpm,PH BPM ITPR Info,391024492,,,391024492,f8d14aa5-f2de-4d37-bc6b-3005d73c1685
2020-09-11T01:29:52.182908Z,TW,,,,,,,ad security group,ad security group,Security group,391024618,,,391024618,151dcd67-80d8-47b1-a1e8-2857ffb49411
2020-09-11T01:30:09.971382Z,PH,,,,,,,iprocess,iprocess,iProcess,371437026,,,371437026,f8d14aa5-f2de-4d37-bc6b-3005d73c1685
2020-09-11T01:34:17.508449Z,TW,,,,,,,health,health,TW Health Check,355128242,,,355128242,5083d895-60a5-46e3-9ba1-ade73a846a30
2020-09-11T01:34:26.636239Z,TW,,,,,,,HNI,hni,,,,,,5083d895-60a5-46e3-9ba1-ade73a846a30
2020-09-11T01:34:56.614557Z,TW,jack_jiang,No,General,Yes,,,ets case,ets case,Introduce ETS,641460353,https://wiki.jarvis.trendmicro.com/display/ETSKF/Introduce+ETS,Services->Introduce ETS,641460353,1374610b-c90f-4af4-a764-73606c3205c6
